epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2339.27,2.26627,37.74,0.88046,0.64296,0.48031,0.49881,0.17461,2.41093,14.2309,0.93923,0.000663978,0.000663978,0.000663978
2,4517.92,2.28313,11.6765,0.87903,0.57451,0.50394,0.51995,0.20197,2.26036,4.31535,0.92721,0.00119891,0.00119891,0.00119891
3,6246.2,2.20073,3.88615,0.87249,0.68978,0.53543,0.49682,0.19398,2.18774,2.69046,0.94319,0.00160184,0.00160184,0.00160184
4,7949.75,2.04738,2.30761,0.85523,0.70183,0.57456,0.59427,0.28723,2.01748,1.9923,0.89948,0.001406,0.001406,0.001406
5,9621,1.98505,1.85154,0.8549,0.74123,0.5748,0.67164,0.33187,1.99218,1.62937,0.88899,0.001208,0.001208,0.001208
6,11267.6,1.89834,1.68803,0.83096,0.8271,0.65354,0.75073,0.38452,1.96086,1.51249,0.88501,0.00101,0.00101,0.00101
7,19530.5,1.82682,1.51282,0.8326,0.78788,0.61417,0.69927,0.34722,1.91389,1.39027,0.87477,0.000812,0.000812,0.000812
8,21082.6,1.7408,1.48766,0.82401,0.73641,0.72441,0.76647,0.2857,2.11718,1.44284,0.88043,0.000614,0.000614,0.000614
9,59197.2,1.67827,1.27499,0.81927,0.83658,0.75591,0.80642,0.408,1.85581,1.19489,0.85895,0.000416,0.000416,0.000416
10,60718.6,1.56491,1.1282,0.80001,0.91467,0.75591,0.81534,0.47348,1.67608,1.12634,0.85258,0.000218,0.000218,0.000218
